"review_copy_path","original_project_path","file_role","called_by","calls_or_sources","required_for_single_estimate","production_or_oracle","file_size","SHA256_original","SHA256_review_copy","exact_match","notes"
"original_source/overarching_four_parameter_validation_final_report.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_four_parameter_validation_final_report.md","7. post-estimation analysis only","human review","canonical validation outputs","no","post-estimation","24073","4c8bb1c7726255b2036c524928a103facf9fbfb2eb54de2ae4377331553ce21a","4c8bb1c7726255b2036c524928a103facf9fbfb2eb54de2ae4377331553ce21a","True","Final 254-path report; not executable estimator code."
"original_source/overarching_profiles/finite_window_profile_n1000000_T50.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_profiles\finite_window_profile_n1000000_T50.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for matching cell","generated/validated by work/build_overarching_correction_profiles.R","only for n=1000000,T=50","production generic simulation object","54176","81877f620ec6d3ae1565e8bc02e13ea54db8455a096c1ce1f3575bb96283130f","81877f620ec6d3ae1565e8bc02e13ea54db8455a096c1ce1f3575bb96283130f","True","Observation-design-specific finite-window transfer profile."
"original_source/overarching_profiles/finite_window_profile_n10000000_T100.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_profiles\finite_window_profile_n10000000_T100.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for matching cell","generated/validated by work/build_overarching_correction_profiles.R","only for n=10000000,T=100","production generic simulation object","55825","f9115395209b0d8b86e4c183d6ec007a154e116db57c5ebf37681e873ef38269","f9115395209b0d8b86e4c183d6ec007a154e116db57c5ebf37681e873ef38269","True","Observation-design-specific finite-window transfer profile."
"original_source/overarching_profiles/finite_window_profile_n2500000_T25.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_profiles\finite_window_profile_n2500000_T25.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for matching cell","generated/validated by work/build_overarching_correction_profiles.R","only for n=2500000,T=25","production generic simulation object","55950","c36a16ea86167227f7395459fe6b41a46062bf239996bf9c6dc29f70d061d00d","c36a16ea86167227f7395459fe6b41a46062bf239996bf9c6dc29f70d061d00d","True","Observation-design-specific finite-window transfer profile."
"original_source/overarching_profiles/finite_window_profile_n4000000_T50.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_profiles\finite_window_profile_n4000000_T50.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for matching cell","generated/validated by work/build_overarching_correction_profiles.R","only for n=4000000,T=50","production generic simulation object","54673","732f92427126aa0cca0435c1a2d117a2efacbc897f8818cf59d9d82e51bec070","732f92427126aa0cca0435c1a2d117a2efacbc897f8818cf59d9d82e51bec070","True","Observation-design-specific finite-window transfer profile."
"original_source/overarching_profiles/finite_window_profile_n5000000_T50.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_profiles\finite_window_profile_n5000000_T50.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for matching cell","generated/validated by work/build_overarching_correction_profiles.R","only for n=5000000,T=50","production generic simulation object","55597","557e2ea7118627b38c81186a0434fa898947652f68e261896bf589d1e1983b4d","557e2ea7118627b38c81186a0434fa898947652f68e261896bf589d1e1983b4d","True","Observation-design-specific finite-window transfer profile."
"original_source/overarching_transfer_profile_build_log.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_transfer_profile_build_log.csv","7. post-estimation analysis only","human review","all correction profile CSV files","no","numerical build log","790","712ca86f1f1b3ec90f0108e5c4246a2f656fe46a23ba749281cdbc93c18f09c6","712ca86f1f1b3ec90f0108e5c4246a2f656fe46a23ba749281cdbc93c18f09c6","True","Records whether each profile was generated or validated as existing."
"original_source/overarching_transfer_profile_validation.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_transfer_profile_validation.csv","7. post-estimation analysis only","human review / work/build_overarching_correction_profiles.R","all correction profile CSV files","no","numerical validation output","1229","e40cb5570cfc88f4f9dc1233911c0fe8e17d7fe59d03dc7c8105a420bd3af932","e40cb5570cfc88f4f9dc1233911c0fe8e17d7fe59d03dc7c8105a420bd3af932","True","Frozen checks for monotonicity, replication, resolution, and fixed-point inversion."
"original_source/overarching_validation_completion_audit.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_validation_completion_audit.md","7. post-estimation analysis only","human review","validation outputs and hash audit","no","post-estimation","4145","d72ab45dbd97c1d78304ab3497aacdae5928a007582da192186c91f738a79a80","d72ab45dbd97c1d78304ab3497aacdae5928a007582da192186c91f738a79a80","True","Completion/integrity summary."
"original_source/overarching_validation_protocol.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\overarching_validation_protocol.md","4. orchestration only","human review / batch protocol","frozen design and profiles","no","documentation","5965","e874887f92970c284c7e5dfce57b3e71cda3d6eaa63efcfe37869333defc4ecb","e874887f92970c284c7e5dfce57b3e71cda3d6eaa63efcfe37869333defc4ecb","True","Frozen validation protocol."
"original_source/rho_level4_oracle_residual_estimator.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\rho_level4_oracle_residual_estimator.R","1. production statistical code (mixed production/oracle definitions)","work/run_finite_window_corrected_full_pipeline.R","none","yes","production rho_level4_estimate; oracle diagnostic function not called","16061","c8690657da478294bfcade7fd5cc0df2d849ea6ebe54b40a38deb58d685fd87c","c8690657da478294bfcade7fd5cc0df2d849ea6ebe54b40a38deb58d685fd87c","True","Historical filename is misleading: rho_level4_estimate uses residuals plus supplied alpha/sigma2/beta only. rho_level4_oracle_diagnostics is separate and unreachable from production runner."
"original_source/run_finite_window_correction_numerics.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\run_finite_window_correction_numerics.R","2. numerical support code","pre-validation n=10M,T=50 profile build","finite_window_corrected_rho_estimator.R","no when profile exists","generic simulation numerical support","4635","af6f849b7ced006d4efe9e10aa392a3cc06098ac0e2fd1c76a824313920bac6d","af6f849b7ced006d4efe9e10aa392a3cc06098ac0e2fd1c76a824313920bac6d","True","Generator/validation script for finite_window_correction_numerical_profiles.csv."
"original_source/test_finite_window_corrected_rho_estimator.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\test_finite_window_corrected_rho_estimator.R","6. oracle diagnostic only","manual smoke test","finite_window_corrected_rho_estimator.R","no","test/diagnostic","2770","6ed8c750ff29c7d4afc97ffdbae14c58939263d0ae0cfda6fb3c3e9207b901d7","6ed8c750ff29c7d4afc97ffdbae14c58939263d0ae0cfda6fb3c3e9207b901d7","True","Existing lightweight deterministic correction-stage smoke test; not a complete four-parameter run."
"original_source/work/assemble_exact_cf_kernel_cache.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\assemble_exact_cf_kernel_cache.R","2. numerical support code","precomputation only","component RDS files","no when kernel cache exists","generic simulation numerical support","2270","48bf237584bfcb44904ac188c15437750da32443ce27a591a484e1fc37df0e92","48bf237584bfcb44904ac188c15437750da32443ce27a591a484e1fc37df0e92","True","Assembles candidate-rho components into a runner-compatible cache."
"original_source/work/build_exact_cf_kernel_component.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\build_exact_cf_kernel_component.R","2. numerical support code","precomputation only","work/diagnose_exact_cf_endpoint_hmm.R","no when kernel cache exists","generic simulation numerical support","1985","3bac7a31cf1bca5ee7ec6987d43ea0f2fb0ce98d1685aad3a4e13968a3854173","3bac7a31cf1bca5ee7ec6987d43ea0f2fb0ce98d1685aad3a4e13968a3854173","True","Builds one candidate-rho endpoint transition/additive-functional component."
"original_source/work/build_overarching_correction_profiles.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\build_overarching_correction_profiles.R","2. numerical support code","pre-validation profile build","finite_window_corrected_rho_estimator.R; frozen_seed_manifest.csv","no when profiles exist","generic simulation numerical support","5411","25754fb665cbdb89e87a9d0d7e12e000d2982228c349049c7d55c07f643fae3c","25754fb665cbdb89e87a9d0d7e12e000d2982228c349049c7d55c07f643fae3c","True","Generates/validates observation-cell-specific transfer profiles."
"original_source/work/chunked_exact_endpoint_likelihood.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\chunked_exact_endpoint_likelihood.R","2. numerical support code","work/run_conditional_cf_endpoint_full_pipeline.R when --chunked-likelihood","functions from diagnose_exact_cf_endpoint_hmm.R","yes","production numerical implementation","4155","55ea5431dff46f4f0fc000c8c0496eb504e0103d02cf86e635e763008380d6b3","55ea5431dff46f4f0fc000c8c0496eb504e0103d02cf86e635e763008380d6b3","True","Exact-equivalent memory-bounded conditional-diagonal likelihood evaluator; frozen validation enabled it."
"original_source/work/diagnose_exact_cf_endpoint_hmm.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\diagnose_exact_cf_endpoint_hmm.R","1. production statistical code","work/run_conditional_cf_endpoint_full_pipeline.R; work/build_exact_cf_kernel_component.R","work/diagnose_markov_additive_endpoint_hmm.R","yes","production; standalone simulation block unreachable when sourced","49573","6a80f94705f34a114359261c5b91f5b53c215f27e0a1b13db16eb431fc07ef08","6a80f94705f34a114359261c5b91f5b53c215f27e0a1b13db16eb431fc07ef08","True","Implements conditional exact finite-frequency endpoint likelihood and beta profiling."
"original_source/work/diagnose_markov_additive_endpoint_hmm.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\diagnose_markov_additive_endpoint_hmm.R","1. production statistical code (mixed production/oracle library)","work/diagnose_exact_cf_endpoint_hmm.R","work/occupation_transition_clock_prototype.R","yes","production subset; oracle script branch unreachable","84444","35009392761613f2c61fe569001382492de9add14a09289216ce84c19b5c5334","35009392761613f2c61fe569001382492de9add14a09289216ce84c19b5c5334","True","Sourced with MARKOV_ENDPOINT_LIBRARY_ONLY=1. Production uses Q-state grid/profile helpers; lower script branch contains oracle diagnostics but is not executed."
"original_source/work/freeze_overarching_validation_design.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\freeze_overarching_validation_design.R","5. simulation only","pre-freeze design generation","scenario definitions","no","simulation/orchestration","7866","00aef40b2c4abbae2ebd823301b46782350b6ece701abc608f58df899e603fc8","00aef40b2c4abbae2ebd823301b46782350b6ece701abc608f58df899e603fc8","True","Generated frozen design and seed manifests; not used in a single estimator execution."
"original_source/work/occupation_transition_clock_prototype.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\occupation_transition_clock_prototype.R","1. production statistical code (mixed research library)","work/diagnose_markov_additive_endpoint_hmm.R","none","yes","production subset; simulation and rejected prototype functions coexist","68141","218bcd323ba2e9b188b21cd182d316b99f1ed6a1d55ba0bd2e2c4b449f6fed6e","218bcd323ba2e9b188b21cd182d316b99f1ed6a1d55ba0bd2e2c4b449f6fed6e","True","Frozen core source; production-reachable functions: simulator, Hill/sigma2, stationary-Q utilities, block log-ECF, log_sum_exp, regularized_chol."
"original_source/work/run_conditional_cf_endpoint_full_pipeline.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\run_conditional_cf_endpoint_full_pipeline.R","1. production statistical code (simulation validation runner)","work/run_finite_window_corrected_full_pipeline.R","work/diagnose_exact_cf_endpoint_hmm.R; conditional work/chunked_exact_endpoint_likelihood.R; design CSV; endpoint kernel RDS","yes","production mode plus selectable oracle-tail modes","15625","f09d5229e07bfec3e4a509241baeb3fe38df85548a9af7604ecb5d406ccda07d","f09d5229e07bfec3e4a509241baeb3fe38df85548a9af7604ecb5d406ccda07d","True","Runs direct residual simulator in validation, Hill/sigma2, endpoint beta likelihood, writes intermediate CSV/RDS. Production controller sets --tail-input=estimated."
"original_source/work/run_finite_window_corrected_full_pipeline.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\run_finite_window_corrected_full_pipeline.R","1. production statistical code / authoritative entry point","work/run_overarching_validation_batch.ps1 or direct Rscript","rho_level4_oracle_residual_estimator.R; finite_window_corrected_rho_estimator.R; work/run_conditional_cf_endpoint_full_pipeline.R; correction profile CSV","yes","production validation entry point with truth-only evaluation diagnostics","7269","57042881c272bfa8bdfdd9a93179145aade44aa3cd3a0b38d135f22d6969b28e","57042881c272bfa8bdfdd9a93179145aade44aa3cd3a0b38d135f22d6969b28e","True","Exact script used for all 254 canonical final estimates. Statistical estimates are computed before simulation-truth error diagnostics."
"original_source/work/run_overarching_validation_batch.ps1","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\work\run_overarching_validation_batch.ps1","4. orchestration only","manual PowerShell invocation","frozen_seed_manifest.csv; frozen_method_hashes.csv; work/run_finite_window_corrected_full_pipeline.R","no for direct run; yes for 254-path orchestration","orchestration; no statistical calculations","9888","e55675359a02f641a4d0d57277446fa1d906b89daa6f02f6eef19d5f1374ceed","e55675359a02f641a4d0d57277446fa1d906b89daa6f02f6eef19d5f1374ceed","True","Current amended controller. Current SHA differs from freeze-time controller; amendment is documented and frozen bytes are unavailable."
"NOT_COPIED_LARGE_OBJECT","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\outputs\cache\conditional_cf_endpoint_kernel_production.rds","3. precomputed numerical object","work/run_conditional_cf_endpoint_full_pipeline.R lines 111-137","generated from simulate_q_endpoint_cf_model via component build/assembly sources","yes for exact frozen production likelihood","production generic candidate-rho simulations; never the realized latent path","61305934","3fb889a85e93af3a6c2782f02b06afae05a2ccf975d6ab430f078c94b5af032f","NOT_COPIED","not_applicable","61.3 MB RDS left at exact original path. Contains config plus 17 rho-indexed Q-endpoint transition/additive-path models at H=0.05; production reads it with readRDS."
